Month,Avg\.Players,Gain,_Gain,PeakPlayers
"
					May 2013
				","194,363.8","+19,528.1",+11.17%,"325,815"
"
					April 2013
				","174,835.7","-6,043.2",-3.34%,"299,667"
"
					March 2013
				","180,878.9","+13,905.9",+8.33%,"325,598"
"
					February 2013
				","166,973.0","+19,224.8",+13.01%,"283,870"
"
					January 2013
				","147,748.1","+25,823.7",+21.18%,"260,989"
"
					December 2012
				","121,924.4","+20,847.0",+20.62%,"213,521"
"
					November 2012
				","101,077.4","+25,112.0",+33.06%,"169,631"
"
					October 2012
				","75,965.4","+14,097.8",+22.79%,"171,860"
"
					September 2012
				","61,867.7","+6,099.1",+10.94%,"118,724"
"
					August 2012
				","55,768.6","+3,047.6",+5.78%,"108,689"
"
					July 2012
				","52,721.1",-,-,"75,041"
